#********mc_data: L-24.0, k_b-3000000000.0, dt-1e-12, N-300.0********


#init L		 init nma	 init fma	 state		 unbinding prob 		 cumulative unbinding prob
24.000000	4.888483	3.782011	LEADING		0.009515	0.023940
24.000000	3.827947	3.937390	LEADING		0.017868	0.039446
24.000000	4.677403	4.180304	TRAILING	0.064264	0.110355
24.000000	3.928846	3.909158	TRAILING	0.042162	0.076194
24.000000	4.510553	3.763942	LEADING		0.060547	0.146852
24.000000	3.884605	4.176206	TRAILING	0.018384	0.034034
24.000000	4.163778	3.948633	TRAILING	0.116378	0.206379
24.000000	4.363495	3.869332	TRAILING	0.139994	0.242651
24.000000	4.775556	3.669443	LEADING		0.011311	0.028418
24.000000	4.203318	4.001573	TRAILING	0.126092	0.223587
24.000000	4.194798	3.643861	TRAILING	0.055623	0.096366
24.000000	4.465230	3.963970	LEADING		0.105158	0.249563
24.000000	4.460478	3.856499	TRAILING	0.126225	0.216841
24.000000	4.366904	4.311207	TRAILING	0.057520	0.102442
24.000000	4.406696	4.226815	LEADING		0.068479	0.158015
24.000000	4.323311	4.057353	TRAILING	0.142210	0.250305
24.000000	4.217044	4.249808	TRAILING	0.063528	0.114387
24.000000	3.852199	3.937689	TRAILING	0.025682	0.046843
24.000000	4.349921	4.072667	LEADING		0.106820	0.247837
24.000000	4.417234	4.262560	TRAILING	0.075783	0.133897
24.000000	4.152852	3.849346	TRAILING	0.103495	0.182484
24.000000	4.865381	4.167190	TRAILING	0.026533	0.044844
24.000000	3.942802	4.020926	LEADING		0.034813	0.077291
24.000000	4.900829	4.246242	TRAILING	0.016593	0.028054
24.000000	4.237357	4.080062	TRAILING	0.121350	0.215615
24.000000	4.488598	4.141264	TRAILING	0.114558	0.199622
24.000000	4.348664	3.965478	LEADING		0.114511	0.268013
24.000000	4.402786	3.957308	LEADING		0.112204	0.264480
24.000000	4.040092	4.182315	LEADING		0.037135	0.082211
24.000000	4.202057	3.845012	LEADING		0.086981	0.202183
24.000000	4.493171	4.255796	TRAILING	0.074624	0.130838
24.000000	3.899342	4.326031	TRAILING	0.008827	0.016509
24.000000	4.643425	3.948014	LEADING		0.064087	0.155429
24.000000	4.787819	3.852173	TRAILING	0.037371	0.062619
24.000000	4.454183	4.202300	TRAILING	0.097196	0.170512
24.000000	4.199884	3.767370	TRAILING	0.094245	0.164575
24.000000	4.574009	3.887475	TRAILING	0.104965	0.178994
24.000000	4.166409	4.031602	TRAILING	0.111088	0.198057
24.000000	4.156672	3.519641	TRAILING	0.024105	0.041537
24.000000	4.330602	3.947393	TRAILING	0.151764	0.265100
