#State	time	PE_b1	PE_m1	PE_t	PE_m2	PE_b2	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	fx1	fy1	fx2	fy2	fx3	fy3	fx4	fy4	fx5	fy5
2	0.0063	0.022	0.00044	2.7e-06	0.0023	0.018	0	0	1.47217	10.3862	-11.6769	30.2241	1.57521	10.4549	0.717341	0	0.00429837	-0.000609266	-0.00352997	0.00111858	-0.00239914	-0.00160247	0.000416409	0.0011928	0.00121434	-9.96417e-05
2	0.0064	0.028	0.066	6.2e-05	0.063	0.027	0	0	2.29034	10.2369	1.49519	34.0236	2.88259	10.2641	0.717341	0	-0.0170094	0.00380556	0.0280197	-0.0034375	-0.0213236	-0.000970288	0.026889	-0.00289447	-0.0165757	0.0034967
2	0.0065	0.027	0.0039	4.9e-06	0.0014	0.023	0	0	2.15691	10.2659	-12.9135	28.6866	2.28582	10.3721	0.717341	0	0.0126401	-0.00265576	-0.0146244	0.00103237	0.00323974	0.0026653	-0.011133	0.000451793	0.00987757	-0.0014937
2	0.0066	0.022	0.0025	2.1e-06	0.00049	0.018	0	0	1.50543	10.3814	-14.2674	28.2044	1.58695	10.4539	0.717341	0	0.0110396	-0.00160088	-0.0125921	0.000226993	0.00227189	0.00201646	-0.00857601	1.09836e-05	0.00785659	-0.000653554
2	0.0067	0.05	0.0097	6.3e-05	0.0086	0.049	0	0	4.84269	9.30529	2.68216	33.007	5.43909	9.36724	0.717341	0	0.000148069	-7.70588e-05	0.00418828	0.000472339	-0.00798536	-0.000820838	0.00308924	0.000707721	0.000559769	-0.000282163
2	0.0068	0.034	0.048	7.4e-06	0.038	0.029	0	0	3.05702	10.0347	-15.7489	24.6215	3.18143	10.1965	0.717341	0	0.027481	-0.00837197	-0.0330874	0.00114395	0.010601	0.0137826	-0.0300581	-0.000497741	0.0250635	-0.00605685
2	0.0069	0.021	0.086	0.0008	0.22	0.0073	0	0	1.36563	10.4007	0.123727	34.1683	-0.764072	10.3849	0.717341	0	-0.0214723	0.00281934	0.0329982	-0.00221709	-0.0321577	0.000167905	0.0617112	0.00508987	-0.0410794	-0.00586002
2	0.007	0.0099	0.057	1.4e-06	0.04	0.007	0	0	-0.827626	10.4573	-23.9009	16.2937	-0.849279	10.3724	0.717341	0	0.0268484	0.00212487	-0.0293089	-0.0118519	0.0045514	0.0178669	-0.0245364	-0.0115299	0.0224454	0.00339011
2	0.0071	0.0042	0.38	0.0097	0.02	0.044	0	0	-2.44437	10.2012	3.08924	33.349	4.90405	9.61829	0.717341	0	-0.0547001	-0.013107	0.0825329	0.00645337	-0.0311147	0.0064026	0.00740049	-0.00154176	-0.00411855	0.00179275
2	0.0072	0.031	0.0066	7.8e-06	0.0034	0.027	0	0	2.69695	10.1374	-12.0907	28.7858	2.86098	10.2686	0.717341	0	0.0147047	-0.00391205	-0.0173218	0.00183682	0.00458914	0.00366762	-0.0142435	0.000969324	0.0122713	-0.00256171
